73	h5nc	4B	5000				
-	859	SI_GhostSprite_GreenActive_5	4	384	256	32	32
-	860	SI_GhostSprite_GreenActive_6	4	416	256	32	32
-	861	SI_GhostSprite_GreenActive_7	4	448	256	32	32
-	862	SI_GhostSprite_Yellow_0	4	192	192	40	40
-	863	SI_GhostSprite_Yellow_1	4	232	192	40	40
-	864	SI_GhostSprite_Yellow_2	4	272	192	40	40
-	865	SI_GhostSprite_Yellow_3	4	312	192	40	40
-	866	SI_GhostSprite_YellowActive_0	4	192	232	40	40
-	867	SI_GhostSprite_YellowActive_1	4	232	232	40	40
-	868	SI_GhostSprite_YellowActive_2	4	272	232	40	40
-	869	SI_GhostSprite_YellowActive_3	4	312	232	40	40
-	870	SI_GhostSprite_YellowActive_4	4	192	272	40	40
-	871	SI_GhostSprite_YellowActive_5	4	232	272	40	40
-	872	SI_GhostSprite_YellowActive_6	4	272	272	40	40
-	873	SI_GhostSprite_YellowActive_7	4	312	272	40	40
-	874	SI_GhostSprite_Red_0	4	0	336	48	48
-	875	SI_GhostSprite_Red_1	4	48	336	48	48
-	876	SI_GhostSprite_Red_2	4	96	336	48	48
-	877	SI_GhostSprite_Red_3	4	144	336	48	48
-	878	SI_GhostSprite_RedActive_0	4	0	384	48	48
-	879	SI_GhostSprite_RedActive_1	4	48	384	48	48
-	880	SI_GhostSprite_RedActive_2	4	96	384	48	48
-	881	SI_GhostSprite_RedActive_3	4	144	384	48	48
-	882	SI_GhostSprite_RedActive_4	4	0	432	48	48
-	883	SI_GhostSprite_RedActive_5	4	48	432	48	48
-	884	SI_GhostSprite_RedActive_6	4	96	432	48	48
-	885	SI_GhostSprite_RedActive_7	4	144	432	48	48
#		Unknown(950~999)					
#		PlayerBullet(1000~1999)					
-	1000	SI_PlayerBullet_00_0_0	10	0	176	64	16
-	1001	SI_PlayerBullet_00_0_1	10	16	144	16	16
-	1002	SI_PlayerBullet_00_0_2	10	32	144	16	16
-	1003	SI_PlayerBullet_00_0_3	10	48	144	16	16
-	1004	SI_PlayerBullet_00_1_0	10	0	192	64	64
-	1005	SI_PlayerBullet_00_1_1	10	64	192	64	64
-	1006	SI_PlayerBullet_00_1_2	10	128	192	64	64
-	1007	SI_PlayerBullet_00_1_3	10	192	192	64	64
-	1008	SI_PlayerBullet_01_0_0	11	0	144	32	16
-	1009	SI_PlayerBullet_01_0_1	11	32	144	32	16
-	1010	SI_PlayerBullet_01_0_2	11	64	144	32	16
-	1011	SI_PlayerBullet_01_0_3	11	96	144	32	16
-	1012	SI_PlayerBullet_01_1_0	11	0	176	256	16
-	1013	SI_PlayerBullet_02_0_0	12	0	160	32	16
-	1014	SI_PlayerBullet_02_0_1	12	16	160	32	16
-	1015	SI_PlayerBullet_02_0_2	12	32	160	32	16
-	1016	SI_PlayerBullet_02_0_3	12	64	160	32	16
-	1017	SI_PlayerBullet_02_1_0	12	0	144	32	16
-	1018	SI_PlayerBullet_02_1_1	12	16	144	32	16
-	1019	SI_PlayerBullet_02_1_2	12	32	144	32	16
-	1020	SI_PlayerBullet_02_1_3	12	48	144	32	16
-	1021	SI_PlayerBullet_03_0_0	13	0	144	16	16
-	1022	SI_PlayerBullet_03_0_1	13	16	144	16	16
-	1023	SI_PlayerBullet_03_0_2	13	32	144	16	16
-	1024	SI_PlayerBullet_03_0_3	13	48	144	16	16
-	1025	SI_PlayerBullet_04_0_0	14	0	144	32	16
-	1026	SI_PlayerBullet_04_0_1	14	16	144	32	16
-	1027	SI_PlayerBullet_04_0_2	14	32	144	32	16
-	1028	SI_PlayerBullet_04_0_3	14	48	144	32	16
-	1029	SI_PlayerBullet_04_1_0	14	0	192	64	64
-	1030	SI_PlayerBullet_04_1_1	14	64	192	64	64
-	1031	SI_PlayerBullet_04_1_2	14	128	192	64	64
-	1032	SI_PlayerBullet_04_1_3	14	192	192	64	64
-	1033	SI_PlayerBullet_05_0_0	15	128	0	32	32
-	1034	SI_PlayerBullet_05_1_0	15	160	0	32	32
-	1035	SI_PlayerBullet_05_1_1	15	192	0	32	32
-	1036	SI_PlayerBullet_06_0_0	16	0	144	32	16
-	1037	SI_PlayerBullet_06_0_1	16	32	144	32	16
-	1038	SI_PlayerBullet_06_0_2	16	64	144	32	16
-	1039	SI_PlayerBullet_06_0_3	16	96	144	32	16
-	1040	SI_PlayerBullet_07_0_0	17	0	144	16	16
-	1041	SI_PlayerBullet_07_0_1	17	16	144	16	16
-	1042	SI_PlayerBullet_07_0_2	17	32	144	16	16
-	1043	SI_PlayerBullet_07_0_3	17	48	144	16	16
-	1044	SI_PlayerBullet_07_1_0	17	0	160	64	16
-	1045	SI_PlayerBullet_07_1_1	17	64	160	64	16
-	1046	SI_PlayerBullet_07_1_2	17	128	160	64	16
-	1047	SI_PlayerBullet_07_1_3	17	192	160	64	16
-	1048	SI_PlayerBullet_08_0_0	18	0	144	32	16
-	1049	SI_PlayerBullet_08_0_1	18	32	144	32	16
-	1050	SI_PlayerBullet_08_0_2	18	64	144	32	16
-	1051	SI_PlayerBullet_08_0_3	18	96	144	32	16
-	1052	SI_PlayerBullet_09_0_0	19	0	144	16	16
-	1053	SI_PlayerBullet_09_0_1	19	16	144	16	16
-	1054	SI_PlayerBullet_09_0_2	19	32	144	16	16
-	1055	SI_PlayerBullet_09_0_3	19	48	144	16	16
-	1056	SI_PlayerBullet_09_1_0	19	0	160	48	32
-	1057	SI_PlayerBullet_09_1_1	19	48	160	48	32
-	1058	SI_PlayerBullet_09_1_2	19	96	160	48	32
-	1059	SI_PlayerBullet_09_1_3	19	144	160	48	32
-	1060	SI_PlayerBullet_10_0_0	20	0	144	32	16
-	1061	SI_PlayerBullet_10_0_1	20	32	144	32	16
-	1062	SI_PlayerBullet_10_0_2	20	64	144	32	16
-	1063	SI_PlayerBullet_10_0_3	20	96	144	32	16
-	1064	SI_PlayerBullet_11_0_0	21	0	144	32	16
-	1065	SI_PlayerBullet_11_0_1	21	32	144	32	16
-	1066	SI_PlayerBullet_11_0_2	21	64	144	32	16
-	1067	SI_PlayerBullet_11_0_3	21	96	144	32	16
-	1068	SI_PlayerBullet_12_0_0	22	0	144	16	16
-	1069	SI_PlayerBullet_12_0_1	22	16	144	16	16
-	1070	SI_PlayerBullet_12_0_2	22	32	144	16	16
-	1071	SI_PlayerBullet_12_0_3	22	48	144	16	16
-	1072	SI_PlayerBullet_12_1_0	22	32	144	16	16
-	1073	SI_PlayerBullet_12_1_1	22	32	144	16	16
-	1074	SI_PlayerBullet_12_1_2	22	32	144	16	16
-	1075	SI_PlayerBullet_12_1_3	22	48	144	16	16
-	1076	SI_PlayerBullet_13_0_0	23	0	144	16	16
-	1077	SI_PlayerBullet_13_0_1	23	16	144	16	16
-	1078	SI_PlayerBullet_13_0_2	23	32	144	16	16
-	1079	SI_PlayerBullet_13_0_3	23	48	144	16	16
-	1080	SI_PlayerBullet_13_1_0	23	0	160	32	32
-	1081	SI_PlayerBullet_14_0_0	24	0	144	32	16
-	1082	SI_PlayerBullet_14_0_1	24	32	144	32	16
-	1083	SI_PlayerBullet_14_0_2	24	64	144	32	16
-	1084	SI_PlayerBullet_14_0_3	24	96	144	32	16
-	1085	SI_PlayerBullet_14_1_0	64	0	224	64	32
-	1086	SI_PlayerBullet_14_1_1	64	64	224	64	32
-	1087	SI_PlayerBullet_14_1_2	64	128	224	64	32
-	1088	SI_PlayerBullet_14_1_3	64	192	224	64	32
-	1089	SI_PlayerBullet_14_2_0	64	0	0	96	96
-	1090	SI_PlayerBullet_14_2_1	64	96	0	96	96
-	1091	SI_PlayerBullet_14_2_2	64	0	96	96	96
-	1092	SI_PlayerBullet_14_2_3	64	96	96	96	96
-	1093	SI_PlayerBullet_15_0_0	25	0	224	256	32
-	1094	SI_PlayerBullet_16_0_0	26	0	144	32	16
-	1095	SI_PlayerBullet_16_0_1	26	32	144	32	16
-	1096	SI_PlayerBullet_16_0_2	26	64	144	32	16
-	1097	SI_PlayerBullet_16_0_3	26	96	144	32	16
-	1098	SI_PlayerBullet_16_1_0	26	0	176	48	16
-	1099	SI_PlayerBullet_16_1_1	26	48	176	48	16
-	1100	SI_PlayerBullet_16_1_2	26	96	176	48	16
-	1101	SI_PlayerBullet_16_1_3	26	144	176	48	16
-	1102	SI_PlayerBullet_16_2_0	26	0	192	48	16
-	1103	SI_PlayerBullet_16_2_1	26	48	192	48	16
-	1104	SI_PlayerBullet_16_2_2	26	96	192	48	16
-	1105	SI_PlayerBullet_16_2_3	26	144	192	48	16
-	1106	SI_PlayerBullet_17_0_0	27	0	144	32	16
-	1107	SI_PlayerBullet_17_0_1	27	32	144	32	16
-	1108	SI_PlayerBullet_17_0_2	27	64	144	32	16
-	1109	SI_PlayerBullet_17_0_3	27	96	144	32	16
-	1110	SI_PlayerBullet_17_1_0	27	0	160	16	16
-	1111	SI_PlayerBullet_18_0_0	28	64	240	48	16
-	1112	SI_PlayerBullet_18_1_0	28	64	224	48	16
-	1113	SI_PlayerBullet_19_0_0	29	0	144	16	16
-	1114	SI_PlayerBullet_19_0_1	29	16	144	16	16
-	1115	SI_PlayerBullet_19_0_2	29	32	144	16	16
-	1116	SI_PlayerBullet_19_0_3	29	48	144	16	16
-	1117	SI_PlayerBullet_19_1_0	29	128	176	64	16
-	1118	SI_PlayerBullet_19_1_1	29	144	160	16	16
-	1119	SI_PlayerBullet_19_1_2	29	160	160	16	16
-	1120	SI_PlayerBullet_19_1_3	29	176	160	16	16
-	1121	SI_PlayerBullet_20_0_0	30	0	144	32	16
-	1122	SI_PlayerBullet_20_0_1	30	32	144	32	16
-	1123	SI_PlayerBullet_20_0_2	30	64	144	32	16
-	1124	SI_PlayerBullet_20_0_3	30	96	144	32	16
-	1125	SI_PlayerBullet_20_1_0	30	0	176	256	16
-	1126	SI_PlayerBullet_21_0_0	31	0	160	64	16
-	1127	SI_PlayerBullet_21_1_0	31	0	208	64	16
-	1128	SI_PlayerBullet_22_0_0	32	0	144	16	16
-	1129	SI_PlayerBullet_22_0_1	32	16	144	16	16
-	1130	SI_PlayerBullet_22_0_2	32	32	144	16	16
-	1131	SI_PlayerBullet_22_0_3	32	48	144	16	16
-	1132	SI_PlayerBullet_22_1_0	32	0	160	64	16
-	1133	SI_PlayerBullet_22_1_1	32	64	160	64	16
-	1134	SI_PlayerBullet_22_1_2	32	128	160	64	16
-	1135	SI_PlayerBullet_22_1_3	32	192	160	64	16
-	1136	SI_PlayerBullet_22_2_0	32	0	176	32	32
-	1137	SI_PlayerBullet_23_0_0	73	0	0	64	64
-	1138	SI_PlayerBullet_23_1_0	73	0	128	64	64
#		Bullet(1400~1799)					
-	1400	SI_Bullet_ShuttleBeam_0	2	0	0	16	16
-	1401	SI_Bullet_ShuttleBeam_1	2	16	0	16	16
-	1402	SI_Bullet_ShuttleBeam_2	2	32	0	16	16
-	1403	SI_Bullet_ShuttleBeam_3	2	48	0	16	16
-	1404	SI_Bullet_ShuttleBeam_4	2	64	0	16	16
-	1405	SI_Bullet_ShuttleBeam_5	2	80	0	16	16
-	1406	SI_Bullet_ShuttleBeam_6	2	96	0	16	16
-	1407	SI_Bullet_ShuttleBeam_7	2	112	0	16	16
-	1408	SI_Bullet_ShuttleBeam_8	2	128	0	16	16
-	1409	SI_Bullet_ShuttleBeam_9	2	144	0	16	16
-	1410	SI_Bullet_ShuttleBeam_10	2	160	0	16	16
-	1411	SI_Bullet_ShuttleBeam_11	2	176	0	16	16
-	1412	SI_Bullet_ShuttleBeam_12	2	192	0	16	16
-	1413	SI_Bullet_ShuttleBeam_13	2	208	0	16	16
-	1414	SI_Bullet_ShuttleBeam_14	2	224	0	16	16
-	1415	SI_Bullet_ShuttleBeam_15	2	240	0	16	16
-	1416	SI_Bullet_Scale_0	2	0	16	16	16
-	1417	SI_Bullet_Scale_1	2	16	16	16	16
-	1418	SI_Bullet_Scale_2	2	32	16	16	16
-	1419	SI_Bullet_Scale_3	2	48	16	16	16
-	1420	SI_Bullet_Scale_4	2	64	16	16	16
-	1421	SI_Bullet_Scale_5	2	80	16	16	16
-	1422	SI_Bullet_Scale_6	2	96	16	16	16
-	1423	SI_Bullet_Scale_7	2	112	16	16	16
-	1424	SI_Bullet_Scale_8	2	128	16	16	16
-	1425	SI_Bullet_Scale_9	2	144	16	16	16
-	1426	SI_Bullet_Scale_10	2	160	16	16	16
-	1427	SI_Bullet_Scale_11	2	176	16	16	16
-	1428	SI_Bullet_Scale_12	2	192	16	16	16
-	1429	SI_Bullet_Scale_13	2	208	16	16	16
-	1430	SI_Bullet_Scale_14	2	224	16	16	16
-	1431	SI_Bullet_Scale_15	2	240	16	16	16
-	1432	SI_Bullet_Ring_0	2	0	32	16	16
-	1433	SI_Bullet_Ring_1	2	16	32	16	16
-	1434	SI_Bullet_Ring_2	2	32	32	16	16
-	1435	SI_Bullet_Ring_3	2	48	32	16	16
-	1436	SI_Bullet_Ring_4	2	64	32	16	16
-	1437	SI_Bullet_Ring_5	2	80	32	16	16
-	1438	SI_Bullet_Ring_6	2	96	32	16	16
-	1439	SI_Bullet_Ring_7	2	112	32	16	16
-	1440	SI_Bullet_Ring_8	2	128	32	16	16
-	1441	SI_Bullet_Ring_9	2	144	32	16	16
-	1442	SI_Bullet_Ring_10	2	160	32	16	16
-	1443	SI_Bullet_Ring_11	2	176	32	16	16
-	1444	SI_Bullet_Ring_12	2	192	32	16	16
-	1445	SI_Bullet_Ring_13	2	208	32	16	16
-	1446	SI_Bullet_Ring_14	2	224	32	16	16
-	1447	SI_Bullet_Ring_15	2	240	32	16	16
-	1448	SI_Bullet_MiddleBall_0	2	0	48	16	16
-	1449	SI_Bullet_MiddleBall_1	2	16	48	16	16
-	1450	SI_Bullet_MiddleBall_2	2	32	48	16	16
-	1451	SI_Bullet_MiddleBall_3	2	48	48	16	16
-	1452	SI_Bullet_MiddleBall_4	2	64	48	16	16
-	1453	SI_Bullet_MiddleBall_5	2	80	48	16	16
-	1454	SI_Bullet_MiddleBall_6	2	96	48	16	16
-	1455	SI_Bullet_MiddleBall_7	2	112	48	16	16
-	1456	SI_Bullet_MiddleBall_8	2	128	48	16	16
-	1457	SI_Bullet_MiddleBall_9	2	144	48	16	16
-	1458	SI_Bullet_MiddleBall_10	2	160	48	16	16
-	1459	SI_Bullet_MiddleBall_11	2	176	48	16	16
-	1460	SI_Bullet_MiddleBall_12	2	192	48	16	16
-	1461	SI_Bullet_MiddleBall_13	2	208	48	16	16
-	1462	SI_Bullet_MiddleBall_14	2	224	48	16	16
-	1463	SI_Bullet_MiddleBall_15	2	240	48	16	16
-	1464	SI_Bullet_Shuttle_0	2	0	64	16	16
-	1465	SI_Bullet_Shuttle_1	2	16	64	16	16
-	1466	SI_Bullet_Shuttle_2	2	32	64	16	16
-	1467	SI_Bullet_Shuttle_3	2	48	64	16	16
-	1468	SI_Bullet_Shuttle_4	2	64	64	16	16
-	1469	SI_Bullet_Shuttle_5	2	80	64	16	16
-	1470	SI_Bullet_Shuttle_6	2	96	64	16	16
-	1471	SI_Bullet_Shuttle_7	2	112	64	16	16
-	1472	SI_Bullet_Shuttle_8	2	128	64	16	16
-	1473	SI_Bullet_Shuttle_9	2	144	64	16	16
-	1474	SI_Bullet_Shuttle_10	2	160	64	16	16
-	1475	SI_Bullet_Shuttle_11	2	176	64	16	16
-	1476	SI_Bullet_Shuttle_12	2	192	64	16	16
-	1477	SI_Bullet_Shuttle_13	2	208	64	16	16
-	1478	SI_Bullet_Shuttle_14	2	224	64	16	16
-	1479	SI_Bullet_Shuttle_15	2	240	64	16	16
-	1480	SI_Bullet_Kunai_0	2	0	80	16	16
-	1481	SI_Bullet_Kunai_1	2	16	80	16	16
-	1482	SI_Bullet_Kunai_2	2	32	80	16	16
-	1483	SI_Bullet_Kunai_3	2	48	80	16	16
-	1484	SI_Bullet_Kunai_4	2	64	80	16	16
-	1485	SI_Bullet_Kunai_5	2	80	80	16	16
-	1486	SI_Bullet_Kunai_6	2	96	80	16	16
-	1487	SI_Bullet_Kunai_7	2	112	80	16	16
-	1488	SI_Bullet_Kunai_8	2	128	80	16	16
-	1489	SI_Bullet_Kunai_9	2	144	80	16	16
-	1490	SI_Bullet_Kunai_10	2	160	80	16	16
-	1491	SI_Bullet_Kunai_11	2	176	80	16	16
-	1492	SI_Bullet_Kunai_12	2	192	80	16	16
-	1493	SI_Bullet_Kunai_13	2	208	80	16	16
-	1494	SI_Bullet_Kunai_14	2	224	80	16	16
-	1495	SI_Bullet_Kunai_15	2	240	80	16	16
-	1496	SI_Bullet_Arris_0	2	0	96	16	16
-	1497	SI_Bullet_Arris_1	2	16	96	16	16
-	1498	SI_Bullet_Arris_2	2	32	96	16	16
-	1499	SI_Bullet_Arris_3	2	48	96	16	16
-	1500	SI_Bullet_Arris_4	2	64	96	16	16
-	1501	SI_Bullet_Arris_5	2	80	96	16	16
-	1502	SI_Bullet_Arris_6	2	96	96	16	16
-	1503	SI_Bullet_Arris_7	2	112	96	16	16
-	1504	SI_Bullet_Arris_8	2	128	96	16	16
-	1505	SI_Bullet_Arris_9	2	144	96	16	16
-	1506	SI_Bullet_Arris_10	2	160	96	16	16
-	1507	SI_Bullet_Arris_11	2	176	96	16	16
-	1508	SI_Bullet_Arris_12	2	192	96	16	16
-	1509	SI_Bullet_Arris_13	2	208	96	16	16
-	1510	SI_Bullet_Arris_14	2	224	96	16	16
-	1511	SI_Bullet_Arris_15	2	240	96	16	16
-	1512	SI_Bullet_Amulet_0	2	0	112	16	16
-	1513	SI_Bullet_Amulet_1	2	16	112	16	16
-	1514	SI_Bullet_Amulet_2	2	32	112	16	16
-	1515	SI_Bullet_Amulet_3	2	48	112	16	16
-	1516	SI_Bullet_Amulet_4	2	64	112	16	16
-	1517	SI_Bullet_Amulet_5	2	80	112	16	16
-	1518	SI_Bullet_Amulet_6	2	96	112	16	16
-	1519	SI_Bullet_Amulet_7	2	112	112	16	16
-	1520	SI_Bullet_Amulet_8	2	128	112	16	16
-	1521	SI_Bullet_Amulet_9	2	144	112	16	16
-	1522	SI_Bullet_Amulet_10	2	160	112	16	16
-	1523	SI_Bullet_Amulet_11	2	176	112	16	16
-	1524	SI_Bullet_Amulet_12	2	192	112	16	16
-	1525	SI_Bullet_Amulet_13	2	208	112	16	16
-	1526	SI_Bullet_Amulet_14	2	224	112	16	16
-	1527	SI_Bullet_Amulet_15	2	240	112	16	16
-	1528	SI_Bullet_GunBullet_0	2	0	128	16	16
-	1529	SI_Bullet_GunBullet_1	2	16	128	16	16
-	1530	SI_Bullet_GunBullet_2	2	32	128	16	16
-	1531	SI_Bullet_GunBullet_3	2	48	128	16	16
-	1532	SI_Bullet_GunBullet_4	2	64	128	16	16
-	1533	SI_Bullet_GunBullet_5	2	80	128	16	16
-	1534	SI_Bullet_GunBullet_6	2	96	128	16	16
-	1535	SI_Bullet_GunBullet_7	2	112	128	16	16
-	1536	SI_Bullet_GunBullet_8	2	128	128	16	16
-	1537	SI_Bullet_GunBullet_9	2	144	128	16	16
-	1538	SI_Bullet_GunBullet_10	2	160	128	16	16
-	1539	SI_Bullet_GunBullet_11	2	176	128	16	16
-	1540	SI_Bullet_GunBullet_12	2	192	128	16	16
-	1541	SI_Bullet_GunBullet_13	2	208	128	16	16
-	1542	SI_Bullet_GunBullet_14	2	224	128	16	16
-	1543	SI_Bullet_GunBullet_15	2	240	128	16	16
-	1544	SI_Bullet_BlackShuttle_0	2	0	144	16	16
-	1545	SI_Bullet_BlackShuttle_1	2	16	144	16	16
-	1546	SI_Bullet_BlackShuttle_2	2	32	144	16	16
-	1547	SI_Bullet_BlackShuttle_3	2	48	144	16	16
-	1548	SI_Bullet_BlackShuttle_4	2	64	144	16	16
-	1549	SI_Bullet_BlackShuttle_5	2	80	144	16	16
-	1550	SI_Bullet_BlackShuttle_6	2	96	144	16	16
-	1551	SI_Bullet_BlackShuttle_7	2	112	144	16	16
-	1552	SI_Bullet_BlackShuttle_8	2	128	144	16	16
-	1553	SI_Bullet_BlackShuttle_9	2	144	144	16	16
-	1554	SI_Bullet_BlackShuttle_10	2	160	144	16	16
-	1555	SI_Bullet_BlackShuttle_11	2	176	144	16	16
-	1556	SI_Bullet_BlackShuttle_12	2	192	144	16	16
-	1557	SI_Bullet_BlackShuttle_13	2	208	144	16	16
-	1558	SI_Bullet_BlackShuttle_14	2	224	144	16	16
-	1559	SI_Bullet_BlackShuttle_15	2	240	144	16	16
-	1560	SI_Bullet_Star_0	2	0	160	16	16
-	1561	SI_Bullet_Star_1	2	16	160	16	16
-	1562	SI_Bullet_Star_2	2	32	160	16	16
-	1563	SI_Bullet_Star_3	2	48	160	16	16
-	1564	SI_Bullet_Star_4	2	64	160	16	16
-	1565	SI_Bullet_Star_5	2	80	160	16	16
-	1566	SI_Bullet_Star_6	2	96	160	16	16
-	1567	SI_Bullet_Star_7	2	112	160	16	16
-	1568	SI_Bullet_Star_8	2	128	160	16	16
-	1569	SI_Bullet_Star_9	2	144	160	16	16
-	1570	SI_Bullet_Star_10	2	160	160	16	16
-	1571	SI_Bullet_Star_11	2	176	160	16	16
-	1572	SI_Bullet_Star_12	2	192	160	16	16
-	1573	SI_Bullet_Star_13	2	208	160	16	16
-	1574	SI_Bullet_Star_14	2	224	160	16	16
-	1575	SI_Bullet_Star_15	2	240	160	16	16
-	1576	SI_Bullet_RollingBall_0	2	0	176	16	16
-	1577	SI_Bullet_RollingBall_1	2	16	176	16	16
-	1578	SI_Bullet_RollingBall_2	2	32	176	16	16
-	1579	SI_Bullet_RollingBall_3	2	48	176	16	16
-	1580	SI_Bullet_RollingBall_4	2	64	176	16	16
-	1581	SI_Bullet_RollingBall_5	2	80	176	16	16
-	1582	SI_Bullet_RollingBall_6	2	96	176	16	16
-	1583	SI_Bullet_RollingBall_7	2	112	176	16	16
-	1584	SI_Bullet_RollingBall_8	2	128	176	16	16
-	1585	SI_Bullet_RollingBall_9	2	144	176	16	16
-	1586	SI_Bullet_RollingBall_10	2	160	176	16	16
-	1587	SI_Bullet_RollingBall_11	2	176	176	16	16
-	1588	SI_Bullet_RollingBall_12	2	192	176	16	16
-	1589	SI_Bullet_RollingBall_13	2	208	176	16	16
-	1590	SI_Bullet_RollingBall_14	2	224	176	16	16
-	1591	SI_Bullet_RollingBall_15	2	240	176	16	16
-	1592	SI_Bullet_SmallStar_0	2	0	192	8	8
-	1593	SI_Bullet_SmallStar_1	2	8	192	8	8
-	1594	SI_Bullet_SmallStar_2	2	16	192	8	8
-	1595	SI_Bullet_SmallStar_3	2	24	192	8	8
-	1596	SI_Bullet_SmallStar_4	2	32	192	8	8
-	1597	SI_Bullet_SmallStar_5	2	40	192	8	8
-	1598	SI_Bullet_SmallStar_6	2	48	192	8	8
-	1599	SI_Bullet_SmallStar_7	2	56	192	8	8
-	1600	SI_Bullet_SmallStar_8	2	64	192	8	8
-	1601	SI_Bullet_SmallStar_9	2	72	192	8	8
-	1602	SI_Bullet_SmallStar_10	2	80	192	8	8
-	1603	SI_Bullet_SmallStar_11	2	88	192	8	8
-	1604	SI_Bullet_SmallStar_12	2	96	192	8	8
-	1605	SI_Bullet_SmallStar_13	2	104	192	8	8
-	1606	SI_Bullet_SmallStar_14	2	112	192	8	8
-	1607	SI_Bullet_SmallStar_15	2	120	192	8	8
-	1608	SI_Bullet_SmallBall_0	2	0	200	8	8
-	1609	SI_Bullet_SmallBall_1	2	8	200	8	8
-	1610	SI_Bullet_SmallBall_2	2	16	200	8	8
-	1611	SI_Bullet_SmallBall_3	2	24	200	8	8
-	1612	SI_Bullet_SmallBall_4	2	32	200	8	8
-	1613	SI_Bullet_SmallBall_5	2	40	200	8	8
-	1614	SI_Bullet_SmallBall_6	2	48	200	8	8
-	1615	SI_Bullet_SmallBall_7	2	56	200	8	8
-	1616	SI_Bullet_SmallBall_8	2	64	200	8	8
-	1617	SI_Bullet_SmallBall_9	2	72	200	8	8
-	1618	SI_Bullet_SmallBall_10	2	80	200	8	8
-	1619	SI_Bullet_SmallBall_11	2	88	200	8	8
-	1620	SI_Bullet_SmallBall_12	2	96	200	8	8
-	1621	SI_Bullet_SmallBall_13	2	104	200	8	8
-	1622	SI_Bullet_SmallBall_14	2	112	200	8	8
-	1623	SI_Bullet_SmallBall_15	2	120	200	8	8
-	1624	SI_Bullet_Coin_0	2	160	192	16	16
-	1625	SI_Bullet_Coin_1	2	176	192	16	16
-	1626	SI_Bullet_Coin_2	2	192	192	16	16
-	1627	SI_Bullet_Coin_3	2	208	192	16	16
-	1628	SI_Bullet_Coin_4	2	224	192	16	16
-	1629	SI_Bullet_Coin_5	2	240	192	16	16
-	1630	SI_Bullet_HugeBall_0	2	256	0	64	64
-	1631	SI_Bullet_HugeBall_1	2	320	0	64	64
-	1632	SI_Bullet_HugeBall_2	2	384	0	64	64
-	1633	SI_Bullet_HugeBall_3	2	448	0	64	64
-	1634	SI_Bullet_BigStar_0	2	256	64	32	32
-	1635	SI_Bullet_BigStar_1	2	288	64	32	32
-	1636	SI_Bullet_BigStar_2	2	320	64	32	32
-	1637	SI_Bullet_BigStar_3	2	352	64	32	32
-	1638	SI_Bullet_BigStar_4	2	384	64	32	32
-	1639	SI_Bullet_BigStar_5	2	416	64	32	32
-	1640	SI_Bullet_BigStar_6	2	448	64	32	32
-	1641	SI_Bullet_BigStar_7	2	480	64	32	32
-	1642	SI_Bullet_BigBall_0	2	256	96	32	32
-	1643	SI_Bullet_BigBall_1	2	288	96	32	32
-	1644	SI_Bullet_BigBall_2	2	320	96	32	32
-	1645	SI_Bullet_BigBall_3	2	352	96	32	32
-	1646	SI_Bullet_BigBall_4	2	384	96	32	32
-	1647	SI_Bullet_BigBall_5	2	416	96	32	32
-	1648	SI_Bullet_BigBall_6	2	448	96	32	32
-	1649	SI_Bullet_BigBall_7	2	480	96	32	32
-	1650	SI_Bullet_BendedKnife_0	2	256	128	32	32
-	1651	SI_Bullet_BendedKnife_1	2	288	128	32	32
-	1652	SI_Bullet_BendedKnife_2	2	320	128	32	32
-	1653	SI_Bullet_BendedKnife_3	2	352	128	32	32
-	1654	SI_Bullet_BendedKnife_4	2	384	128	32	32
-	1655	SI_Bullet_BendedKnife_5	2	416	128	32	32
-	1656	SI_Bullet_BendedKnife_6	2	448	128	32	32
-	1657	SI_Bullet_BendedKnife_7	2	480	128	32	32
-	1658	SI_Bullet_Butterfly_0	2	256	160	32	32
-	1659	SI_Bullet_Butterfly_1	2	288	160	32	32
-	1660	SI_Bullet_Butterfly_2	2	320	160	32	32
-	1661	SI_Bullet_Butterfly_3	2	352	160	32	32
-	1662	SI_Bullet_Butterfly_4	2	384	160	32	32
-	1663	SI_Bullet_Butterfly_5	2	416	160	32	32
-	1664	SI_Bullet_Butterfly_6	2	448	160	32	32
-	1665	SI_Bullet_Butterfly_7	2	480	160	32	32
-	1666	SI_Bullet_Knife_0	2	256	192	32	32
-	1667	SI_Bullet_Knife_1	2	288	192	32	32
-	1668	SI_Bullet_Knife_2	2	320	192	32	32
-	1669	SI_Bullet_Knife_3	2	352	192	32	32
-	1670	SI_Bullet_Knife_4	2	384	192	32	32
-	1671	SI_Bullet_Knife_5	2	416	192	32	32
-	1672	SI_Bullet_Knife_6	2	448	192	32	32
-	1673	SI_Bullet_Knife_7	2	480	192	32	32
-	1674	SI_Bullet_Quaver_0	2	256	224	32	32
-	1675	SI_Bullet_Quaver_1	2	288	224	32	32
-	1676	SI_Bullet_Quaver_2	2	320	224	32	32
-	1677	SI_Bullet_Stupa_0	2	352	224	32	32
-	1678	SI_Bullet_LegatoQuaver_0	2	384	224	32	32
-	1679	SI_Bullet_LegatoQuaver_1	2	416	224	32	32
-	1680	SI_Bullet_LegatoQuaver_2	2	448	224	32	32
-	1681	SI_Bullet_LegatoQuaver_3	2	480	224	32	32
